No. moves  % accept.        E_tot           E_sr
     880    48.2555        -7027.732       -7027.732
     882    48.2597        -7004.339       -7004.339
     884    48.2644        -7027.582       -7027.582
     886    48.2675        -7014.056       -7014.056
     888    48.2715        -7023.822       -7023.822
     890    48.2736        -6975.868       -6975.868
     892    48.2753        -6972.512       -6972.512
     894    48.2757        -6975.366       -6975.366
     896    48.2786        -6958.105       -6958.105
     898    48.2831        -6949.043       -6949.043
     900    48.2877        -6956.513       -6956.513
     902    48.2907        -6972.309       -6972.309
     904    48.2948        -6973.600       -6973.600
     906    48.2972        -6974.508       -6974.508
     908    48.3001        -6961.030       -6961.030
     910    48.3024        -6978.762       -6978.762
     912    48.3065        -6977.699       -6977.699
     914    48.3094        -6991.572       -6991.572
     916    48.3107        -7021.264       -7021.264
     918    48.3134        -7001.910       -7001.910
     920    48.3156        -7012.549       -7012.549
     922    48.3194        -7006.945       -7006.945
     924    48.3237        -6990.424       -6990.424
     926    48.3268        -7012.096       -7012.096
     928    48.3304        -7005.197       -7005.197
     930    48.3338        -7018.391       -7018.391
     932    48.3373        -7036.373       -7036.373
     934    48.3402        -7045.670       -7045.670
     936    48.3427        -7030.035       -7030.035
     938    48.3463        -6995.997       -6995.997
     940    48.3494        -6986.395       -6986.395
     942    48.3530        -6990.483       -6990.483
     944    48.3555        -7009.501       -7009.501
     946    48.3598        -6983.733       -6983.733
     948    48.3636        -6960.791       -6960.791
     950    48.3650        -7001.125       -7001.125
     952    48.3677        -7011.793       -7011.793
     954    48.3699        -7025.212       -7025.212
     956    48.3723        -7017.441       -7017.441
     958    48.3747        -7016.320       -7016.320
     960    48.3776        -7028.097       -7028.097
     962    48.3803        -7033.908       -7033.908
     964    48.3839        -7020.676       -7020.676
     966    48.3868        -7007.147       -7007.147
     968    48.3903        -7007.841       -7007.841
     970    48.3940        -6988.025       -6988.025
     972    48.3974        -7029.620       -7029.620
     974    48.3996        -7020.546       -7020.546
     976    48.4023        -7058.409       -7058.409
     978    48.4049        -7032.381       -7032.381
     980    48.4068        -7028.709       -7028.709
     982    48.4077        -7033.446       -7033.446
     984    48.4098        -7031.188       -7031.188
     986    48.4125        -7040.001       -7040.001
     988    48.4168        -7010.375       -7010.375
     990    48.4184        -7019.683       -7019.683
     992    48.4189        -7042.160       -7042.160
     994    48.4210        -7050.944       -7050.944
     996    48.4230        -7023.365       -7023.365
     998    48.4266        -7020.628       -7020.628
     1000    48.4290        -7036.669       -7036.669
     1002    48.4319        -7038.702       -7038.702
     1004    48.4344        -7066.678       -7066.678
     1006    48.4367        -7035.907       -7035.907
     1008    48.4392        -7025.475       -7025.475
     1010    48.4432        -7044.983       -7044.983
     1012    48.4465        -7050.768       -7050.768
     1014    48.4498        -7047.254       -7047.254
     1016    48.4541        -7019.302       -7019.302
     1018    48.4574        -7025.246       -7025.246
     1020    48.4609        -7035.462       -7035.462
     1022    48.4623        -7059.126       -7059.126
     1024    48.4651        -7039.029       -7039.029
     1026    48.4670        -7051.503       -7051.503
     1028    48.4680        -7034.531       -7034.531
     1030    48.4697        -7064.664       -7064.664
     1032    48.4716        -7038.144       -7038.144
     1034    48.4752        -7043.314       -7043.314
     1036    48.4782        -7057.645       -7057.645
     1038    48.4801        -7060.448       -7060.448
     1040    48.4825        -7053.582       -7053.582
     1042    48.4857        -7061.016       -7061.016
     1044    48.4872        -7052.401       -7052.401
     1046    48.4910        -7041.783       -7041.783
     1048    48.4926        -7045.990       -7045.990
     1050    48.4955        -7044.279       -7044.279
     1052    48.4981        -7037.812       -7037.812
     1054    48.5040        -7029.316       -7029.316
     1056    48.5074        -7015.148       -7015.148
     1058    48.5110        -7026.229       -7026.229
     1060    48.5150        -7014.685       -7014.685
     1062    48.5198        -7025.442       -7025.442
     1064    48.5236        -7027.573       -7027.573
     1066    48.5263        -7006.142       -7006.142
     1068    48.5286        -7015.156       -7015.156
     1070    48.5323        -7001.786       -7001.786
     1072    48.5350        -7029.845       -7029.845
     1074    48.5362        -7029.317       -7029.317
     1076    48.5376        -6999.451       -6999.451
     1078    48.5391        -7009.119       -7009.119
     1080    48.5396        -6991.553       -6991.553
     1082    48.5426        -6979.144       -6979.144
     1084    48.5460        -7006.568       -7006.568
     1086    48.5480        -7006.682       -7006.682
     1088    48.5509        -6991.099       -6991.099
     1090    48.5540        -7011.476       -7011.476
     1092    48.5559        -7001.952       -7001.952
     1094    48.5584        -6993.997       -6993.997
     1096    48.5612        -6990.313       -6990.313
     1098    48.5649        -6979.600       -6979.600
     1100    48.5681        -6981.928       -6981.928
     1102    48.5679        -6982.863       -6982.863
     1104    48.5705        -6999.642       -6999.642
     1106    48.5734        -7026.170       -7026.170
     1108    48.5762        -7022.562       -7022.562
     1110    48.5783        -7054.991       -7054.991
     1112    48.5781        -7046.240       -7046.240
     1114    48.5810        -7031.670       -7031.670
     1116    48.5824        -7032.971       -7032.971
     1118    48.5834        -7084.637       -7084.637
     1120    48.5865        -7097.942       -7097.942
     1122    48.5885        -7090.466       -7090.466
     1124    48.5896        -7095.436       -7095.436
     1126    48.5905        -7068.331       -7068.331
     1128    48.5912        -7055.612       -7055.612
     1130    48.5946        -7032.769       -7032.769
     1132    48.5967        -7026.354       -7026.354
     1134    48.5992        -7008.481       -7008.481
     1136    48.6016        -7012.931       -7012.931
     1138    48.6039        -7006.483       -7006.483
