No. moves  % accept.       <E_tot>         <E_sr>
     10764    49.6734        -7011.581       -7011.581
     10766    49.6734        -7011.605       -7011.605
     10768    49.6734        -7011.581       -7011.581
     10770    49.6735        -7011.563       -7011.563
     10772    49.6733        -7011.528       -7011.528
     10774    49.6733        -7011.533       -7011.533
     10776    49.6733        -7011.556       -7011.556
     10778    49.6733        -7011.602       -7011.602
     10780    49.6733        -7011.570       -7011.570
     10782    49.6732        -7011.566       -7011.566
     10784    49.6733        -7011.575       -7011.575
     10786    49.6731        -7011.613       -7011.613
     10788    49.6731        -7011.638       -7011.638
     10790    49.6732        -7011.707       -7011.707
     10792    49.6730        -7011.668       -7011.668
     10794    49.6729        -7011.701       -7011.701
     10796    49.6729        -7011.731       -7011.731
     10798    49.6729        -7011.763       -7011.763
     10800    49.6730        -7011.790       -7011.790
     10802    49.6730        -7011.881       -7011.881
     10804    49.6729        -7011.921       -7011.921
     10806    49.6729        -7011.942       -7011.942
     10808    49.6730        -7011.962       -7011.962
     10810    49.6728        -7011.941       -7011.941
     10812    49.6727        -7011.898       -7011.898
     10814    49.6728        -7011.863       -7011.863
     10816    49.6729        -7011.857       -7011.857
     10818    49.6728        -7011.832       -7011.832
     10820    49.6729        -7011.800       -7011.800
     10822    49.6729        -7011.721       -7011.721
     10824    49.6730        -7011.620       -7011.620
     10826    49.6731        -7011.508       -7011.508
     10828    49.6731        -7011.404       -7011.404
     10830    49.6731        -7011.330       -7011.330
     10832    49.6730        -7011.210       -7011.210
     10834    49.6731        -7011.128       -7011.128
     10836    49.6732        -7011.062       -7011.062
     10838    49.6732        -7011.058       -7011.058
     10840    49.6732        -7011.051       -7011.051
     10842    49.6734        -7011.022       -7011.022
     10844    49.6734        -7011.001       -7011.001
     10846    49.6732        -7011.008       -7011.008
     10848    49.6734        -7011.060       -7011.060
     10850    49.6735        -7011.113       -7011.113
     10852    49.6734        -7011.144       -7011.144
     10854    49.6734        -7011.135       -7011.135
     10856    49.6734        -7011.119       -7011.119
     10858    49.6734        -7011.103       -7011.103
     10860    49.6734        -7011.144       -7011.144
     10862    49.6733        -7011.157       -7011.157
     10864    49.6733        -7011.183       -7011.183
     10866    49.6732        -7011.269       -7011.269
     10868    49.6732        -7011.291       -7011.291
     10870    49.6733        -7011.420       -7011.420
     10872    49.6733        -7011.498       -7011.498
     10874    49.6734        -7011.557       -7011.557
     10876    49.6734        -7011.675       -7011.675
     10878    49.6733        -7011.681       -7011.681
     10880    49.6732        -7011.754       -7011.754
     10882    49.6731        -7011.749       -7011.749
     10884    49.6732        -7011.804       -7011.804
     10886    49.6732        -7011.819       -7011.819
     10888    49.6732        -7011.845       -7011.845
     10890    49.6734        -7011.869       -7011.869
     10892    49.6734        -7011.914       -7011.914
     10894    49.6734        -7012.036       -7012.036
     10896    49.6734        -7012.095       -7012.095
     10898    49.6734        -7012.157       -7012.157
     10900    49.6734        -7012.119       -7012.119
     10902    49.6734        -7012.059       -7012.059
     10904    49.6733        -7012.029       -7012.029
     10906    49.6734        -7012.025       -7012.025
     10908    49.6735        -7012.015       -7012.015
     10910    49.6736        -7012.043       -7012.043
     10912    49.6734        -7012.170       -7012.170
     10914    49.6733        -7012.241       -7012.241
     10916    49.6733        -7012.325       -7012.325
     10918    49.6735        -7012.301       -7012.301
     10920    49.6736        -7012.228       -7012.228
     10922    49.6737        -7012.250       -7012.250
     10924    49.6738        -7012.277       -7012.277
     10926    49.6738        -7012.294       -7012.294
     10928    49.6738        -7012.290       -7012.290
     10930    49.6739        -7012.305       -7012.305
     10932    49.6740        -7012.325       -7012.325
     10934    49.6740        -7012.301       -7012.301
     10936    49.6741        -7012.333       -7012.333
     10938    49.6742        -7012.343       -7012.343
     10940    49.6742        -7012.377       -7012.377
     10942    49.6741        -7012.351       -7012.351
     10944    49.6741        -7012.327       -7012.327
     10946    49.6742        -7012.323       -7012.323
     10948    49.6742        -7012.263       -7012.263
     10950    49.6744        -7012.227       -7012.227
     10952    49.6745        -7012.141       -7012.141
     10954    49.6746        -7012.078       -7012.078
     10956    49.6746        -7012.019       -7012.019
     10958    49.6748        -7011.988       -7011.988
     10960    49.6747        -7011.994       -7011.994
     10962    49.6747        -7011.954       -7011.954
     10964    49.6748        -7011.859       -7011.859
     10966    49.6749        -7011.814       -7011.814
     10968    49.6750        -7011.783       -7011.783
     10970    49.6751        -7011.811       -7011.811
     10972    49.6750        -7011.821       -7011.821
     10974    49.6751        -7011.842       -7011.842
     10976    49.6752        -7011.862       -7011.862
     10978    49.6753        -7011.917       -7011.917
     10980    49.6753        -7011.985       -7011.985
     10982    49.6753        -7012.022       -7012.022
     10984    49.6754        -7012.031       -7012.031
     10986    49.6755        -7012.028       -7012.028
     10988    49.6754        -7012.048       -7012.048
     10990    49.6756        -7012.007       -7012.007
     10992    49.6755        -7012.062       -7012.062
     10994    49.6756        -7012.106       -7012.106
     10996    49.6755        -7012.159       -7012.159
     10998    49.6756        -7012.271       -7012.271
     11000    49.6755        -7012.344       -7012.344
     11002    49.6756        -7012.418       -7012.418
     11004    49.6757        -7012.505       -7012.505
     11006    49.6758        -7012.538       -7012.538
     11008    49.6759        -7012.530       -7012.530
     11010    49.6760        -7012.474       -7012.474
     11012    49.6761        -7012.450       -7012.450
     11014    49.6762        -7012.474       -7012.474
     11016    49.6761        -7012.476       -7012.476
     11018    49.6763        -7012.473       -7012.473
     11020    49.6764        -7012.499       -7012.499
     11022    49.6766        -7012.497       -7012.497
     11024    49.6766        -7012.524       -7012.524
     11026    49.6766        -7012.568       -7012.568
     11028    49.6766        -7012.627       -7012.627
     11030    49.6766        -7012.665       -7012.665
     11032    49.6766        -7012.731       -7012.731
     11034    49.6767        -7012.793       -7012.793
     11036    49.6767        -7012.868       -7012.868
     11038    49.6767        -7012.943       -7012.943
     11040    49.6766        -7013.015       -7013.015
     11042    49.6766        -7013.087       -7013.087
     11044    49.6767        -7013.166       -7013.166
     11046    49.6768        -7013.294       -7013.294
     11048    49.6770        -7013.409       -7013.409
     11050    49.6770        -7013.487       -7013.487
     11052    49.6770        -7013.560       -7013.560
     11054    49.6771        -7013.635       -7013.635
     11056    49.6772        -7013.747       -7013.747
     11058    49.6773        -7013.835       -7013.835
     11060    49.6772        -7013.905       -7013.905
     11062    49.6773        -7013.969       -7013.969
     11064    49.6775        -7013.982       -7013.982
     11066    49.6773        -7014.040       -7014.040
     11068    49.6774        -7014.130       -7014.130
     11070    49.6775        -7014.201       -7014.201
     11072    49.6777        -7014.209       -7014.209
     11074    49.6778        -7014.275       -7014.275
     11076    49.6777        -7014.321       -7014.321
     11078    49.6778        -7014.384       -7014.384
     11080    49.6779        -7014.405       -7014.405
     11082    49.6781        -7014.419       -7014.419
     11084    49.6783        -7014.419       -7014.419
     11086    49.6782        -7014.461       -7014.461
     11088    49.6781        -7014.437       -7014.437
