No. moves  % accept.       <E_tot>         <E_sr>
     10470    49.6927        -7011.863       -7011.863
     10472    49.6927        -7011.988       -7011.988
     10474    49.6929        -7012.146       -7012.146
     10476    49.6928        -7012.414       -7012.414
     10478    49.6929        -7012.696       -7012.696
     10480    49.6929        -7012.859       -7012.859
     10482    49.6928        -7013.078       -7013.078
     10484    49.6928        -7013.186       -7013.186
     10486    49.6928        -7013.253       -7013.253
     10488    49.6928        -7013.318       -7013.318
     10490    49.6926        -7013.403       -7013.403
     10492    49.6924        -7013.491       -7013.491
     10494    49.6923        -7013.570       -7013.570
     10496    49.6925        -7013.707       -7013.707
     10498    49.6924        -7013.961       -7013.961
     10500    49.6926        -7014.235       -7014.235
     10502    49.6924        -7014.440       -7014.440
     10504    49.6925        -7014.620       -7014.620
     10506    49.6926        -7014.731       -7014.731
     10508    49.6927        -7014.906       -7014.906
     10510    49.6928        -7015.024       -7015.024
     10512    49.6930        -7015.165       -7015.165
     10514    49.6931        -7015.235       -7015.235
     10516    49.6934        -7015.291       -7015.291
     10518    49.6935        -7015.389       -7015.389
     10520    49.6935        -7015.543       -7015.543
     10522    49.6935        -7015.706       -7015.706
     10524    49.6935        -7015.841       -7015.841
     10526    49.6935        -7015.965       -7015.965
     10528    49.6935        -7016.053       -7016.053
     10530    49.6935        -7016.221       -7016.221
     10532    49.6933        -7016.366       -7016.366
     10534    49.6934        -7016.461       -7016.461
     10536    49.6934        -7016.567       -7016.567
     10538    49.6935        -7016.721       -7016.721
     10540    49.6935        -7016.771       -7016.771
     10542    49.6936        -7016.869       -7016.869
     10544    49.6937        -7017.022       -7017.022
     10546    49.6937        -7017.148       -7017.148
     10548    49.6939        -7017.293       -7017.293
     10550    49.6939        -7017.433       -7017.433
     10552    49.6938        -7017.564       -7017.564
     10554    49.6939        -7017.616       -7017.616
     10556    49.6940        -7017.744       -7017.744
     10558    49.6940        -7017.809       -7017.809
     10560    49.6940        -7017.821       -7017.821
     10562    49.6941        -7017.782       -7017.782
     10564    49.6941        -7017.620       -7017.620
     10566    49.6942        -7017.503       -7017.503
     10568    49.6945        -7017.312       -7017.312
     10570    49.6945        -7017.114       -7017.114
     10572    49.6946        -7016.948       -7016.948
     10574    49.6945        -7016.803       -7016.803
     10576    49.6946        -7016.653       -7016.653
     10578    49.6946        -7016.499       -7016.499
     10580    49.6947        -7016.382       -7016.382
     10582    49.6947        -7016.267       -7016.267
     10584    49.6946        -7016.161       -7016.161
     10586    49.6946        -7016.081       -7016.081
     10588    49.6946        -7015.869       -7015.869
     10590    49.6946        -7015.552       -7015.552
     10592    49.6945        -7015.252       -7015.252
     10594    49.6947        -7014.895       -7014.895
     10596    49.6947        -7014.547       -7014.547
     10598    49.6948        -7014.315       -7014.315
     10600    49.6949        -7014.078       -7014.078
     10602    49.6949        -7013.892       -7013.892
     10604    49.6948        -7013.833       -7013.833
     10606    49.6949        -7013.716       -7013.716
     10608    49.6949        -7013.620       -7013.620
     10610    49.6950        -7013.562       -7013.562
     10612    49.6952        -7013.452       -7013.452
     10614    49.6951        -7013.434       -7013.434
     10616    49.6951        -7013.278       -7013.278
     10618    49.6950        -7013.197       -7013.197
     10620    49.6951        -7013.113       -7013.113
     10622    49.6952        -7013.140       -7013.140
     10624    49.6952        -7013.197       -7013.197
     10626    49.6953        -7013.159       -7013.159
     10628    49.6954        -7013.171       -7013.171
     10630    49.6955        -7013.140       -7013.140
     10632    49.6955        -7013.012       -7013.012
     10634    49.6954        -7012.879       -7012.879
     10636    49.6953        -7012.840       -7012.840
     10638    49.6952        -7012.724       -7012.724
     10640    49.6952        -7012.647       -7012.647
     10642    49.6952        -7012.614       -7012.614
     10644    49.6952        -7012.617       -7012.617
     10646    49.6953        -7012.627       -7012.627
     10648    49.6952        -7012.651       -7012.651
     10650    49.6952        -7012.681       -7012.681
     10652    49.6953        -7012.648       -7012.648
     10654    49.6953        -7012.649       -7012.649
     10656    49.6954        -7012.622       -7012.622
     10658    49.6955        -7012.641       -7012.641
     10660    49.6955        -7012.686       -7012.686
     10662    49.6956        -7012.668       -7012.668
     10664    49.6955        -7012.634       -7012.634
     10666    49.6955        -7012.668       -7012.668
     10668    49.6955        -7012.706       -7012.706
     10670    49.6954        -7012.832       -7012.832
     10672    49.6954        -7013.001       -7013.001
     10674    49.6952        -7013.089       -7013.089
     10676    49.6952        -7013.231       -7013.231
     10678    49.6951        -7013.338       -7013.338
     10680    49.6949        -7013.474       -7013.474
     10682    49.6949        -7013.656       -7013.656
     10684    49.6948        -7013.759       -7013.759
     10686    49.6947        -7013.956       -7013.956
     10688    49.6947        -7014.161       -7014.161
     10690    49.6948        -7014.245       -7014.245
     10692    49.6947        -7014.291       -7014.291
     10694    49.6947        -7014.397       -7014.397
     10696    49.6948        -7014.565       -7014.565
     10698    49.6950        -7014.680       -7014.680
     10700    49.6949        -7014.860       -7014.860
     10702    49.6949        -7015.001       -7015.001
     10704    49.6950        -7015.076       -7015.076
     10706    49.6950        -7015.238       -7015.238
     10708    49.6949        -7015.395       -7015.395
     10710    49.6949        -7015.506       -7015.506
