No. moves  % accept.        E_tot           E_sr
     614    47.7013        -7016.823       -7016.823
     616    47.7086        -7008.164       -7008.164
     618    47.7144        -6992.092       -6992.092
     620    47.7220        -6991.086       -6991.086
     622    47.7281        -7002.187       -7002.187
     624    47.7312        -7004.465       -7004.465
     626    47.7406        -7002.988       -7002.988
     628    47.7472        -7023.427       -7023.427
     630    47.7561        -7054.190       -7054.190
     632    47.7624        -7050.813       -7050.813
     634    47.7708        -7039.326       -7039.326
     636    47.7785        -7056.126       -7056.126
     638    47.7866        -7050.159       -7050.159
     640    47.7932        -7083.707       -7083.707
     642    47.8002        -7061.038       -7061.038
     644    47.8048        -7083.195       -7083.195
     646    47.8082        -7096.567       -7096.567
     648    47.8149        -7067.594       -7067.594
     650    47.8186        -7042.302       -7042.302
     652    47.8254        -7050.125       -7050.125
     654    47.8289        -7039.643       -7039.643
     656    47.8326        -7033.821       -7033.821
     658    47.8397        -7031.332       -7031.332
     660    47.8465        -7037.685       -7037.685
     662    47.8519        -7035.197       -7035.197
     664    47.8598        -7020.127       -7020.127
     666    47.8635        -7021.830       -7021.830
     668    47.8719        -7024.365       -7024.365
     670    47.8776        -7020.210       -7020.210
     672    47.8826        -7045.602       -7045.602
     674    47.8915        -7029.282       -7029.282
     676    47.8988        -7057.997       -7057.997
     678    47.9047        -7047.727       -7047.727
     680    47.9090        -7040.179       -7040.179
     682    47.9168        -7060.984       -7060.984
     684    47.9230        -7030.455       -7030.455
     686    47.9301        -7032.818       -7032.818
     688    47.9373        -7016.170       -7016.170
     690    47.9455        -7030.760       -7030.760
     692    47.9519        -7048.638       -7048.638
     694    47.9541        -7050.069       -7050.069
     696    47.9614        -7038.316       -7038.316
     698    47.9657        -7065.857       -7065.857
     700    47.9710        -7067.417       -7067.417
     702    47.9763        -7070.049       -7070.049
     704    47.9811        -7085.068       -7085.068
     706    47.9874        -7068.510       -7068.510
     708    47.9920        -7050.957       -7050.957
     710    47.9974        -7072.620       -7072.620
     712    48.0012        -7077.571       -7077.571
     714    48.0041        -7067.213       -7067.213
     716    48.0080        -7067.286       -7067.286
     718    48.0131        -7006.877       -7006.877
     720    48.0183        -7006.165       -7006.165
     722    48.0245        -7014.172       -7014.172
     724    48.0305        -7040.226       -7040.226
     726    48.0352        -7037.755       -7037.755
     728    48.0387        -7003.170       -7003.170
     730    48.0445        -7005.220       -7005.220
     732    48.0478        -7022.007       -7022.007
     734    48.0521        -7020.200       -7020.200
     736    48.0576        -7016.857       -7016.857
     738    48.0584        -7026.009       -7026.009
     740    48.0641        -7006.018       -7006.018
     742    48.0682        -7026.516       -7026.516
     744    48.0746        -7017.346       -7017.346
     746    48.0786        -7008.705       -7008.705
     748    48.0857        -6995.236       -6995.236
     750    48.0920        -7012.892       -7012.892
     752    48.0972        -7009.045       -7009.045
     754    48.1039        -6995.281       -6995.281
     756    48.1100        -6982.084       -6982.084
     758    48.1153        -6995.628       -6995.628
     760    48.1203        -7015.116       -7015.116
     762    48.1235        -6990.583       -6990.583
     764    48.1284        -6960.365       -6960.365
     766    48.1344        -6955.884       -6955.884
     768    48.1390        -6969.354       -6969.354
     770    48.1454        -6999.649       -6999.649
     772    48.1516        -7018.509       -7018.509
     774    48.1588        -6993.549       -6993.549
     776    48.1633        -6995.193       -6995.193
     778    48.1675        -6990.600       -6990.600
     780    48.1728        -6998.366       -6998.366
     782    48.1759        -6995.259       -6995.259
     784    48.1810        -6998.924       -6998.924
     786    48.1843        -7024.148       -7024.148
     788    48.1886        -7034.333       -7034.333
     790    48.1938        -7033.795       -7033.795
     792    48.1997        -7015.208       -7015.208
     794    48.2030        -7034.459       -7034.459
     796    48.2051        -7074.401       -7074.401
     798    48.2082        -7046.194       -7046.194
     800    48.2107        -7025.823       -7025.823
     802    48.2145        -7047.146       -7047.146
     804    48.2181        -7072.345       -7072.345
     806    48.2232        -7055.525       -7055.525
     808    48.2274        -7024.310       -7024.310
     810    48.2321        -7028.565       -7028.565
     812    48.2357        -7000.559       -7000.559
     814    48.2401        -6994.756       -6994.756
     816    48.2422        -6992.265       -6992.265
     818    48.2482        -6993.174       -6993.174
     820    48.2528        -7001.000       -7001.000
     822    48.2580        -7018.715       -7018.715
     824    48.2607        -7036.023       -7036.023
     826    48.2635        -7043.694       -7043.694
     828    48.2687        -7039.579       -7039.579
     830    48.2728        -7035.978       -7035.978
     832    48.2757        -7011.814       -7011.814
     834    48.2797        -7019.900       -7019.900
     836    48.2852        -7000.361       -7000.361
     838    48.2892        -6989.920       -6989.920
     840    48.2945        -7033.114       -7033.114
     842    48.2991        -7013.467       -7013.467
     844    48.3056        -7018.352       -7018.352
     846    48.3099        -7015.144       -7015.144
     848    48.3150        -6996.211       -6996.211
     850    48.3182        -7031.601       -7031.601
     852    48.3229        -7036.064       -7036.064
     854    48.3262        -7032.279       -7032.279
     856    48.3310        -7049.404       -7049.404
     858    48.3344        -7046.887       -7046.887
     860    48.3376        -7049.546       -7049.546
     862    48.3408        -7062.903       -7062.903
     864    48.3442        -7061.916       -7061.916
     866    48.3471        -7064.923       -7064.923
     868    48.3508        -7064.074       -7064.074
     870    48.3539        -7038.397       -7038.397
     872    48.3567        -7043.322       -7043.322
     874    48.3568        -7040.758       -7040.758
     876    48.3602        -7030.424       -7030.424
     878    48.3607        -7037.919       -7037.919
     880    48.3617        -7057.163       -7057.163
     882    48.3644        -7015.491       -7015.491
     884    48.3688        -6988.198       -6988.198
     886    48.3736        -6999.778       -6999.778
     888    48.3780        -7025.381       -7025.381
     890    48.3812        -7032.442       -7032.442
     892    48.3856        -7003.860       -7003.860
     894    48.3887        -7015.344       -7015.344
     896    48.3912        -7014.227       -7014.227
     898    48.3945        -7012.828       -7012.828
     900    48.3982        -7024.369       -7024.369
     902    48.4017        -7037.216       -7037.216
     904    48.4034        -7022.578       -7022.578
     906    48.4054        -7017.194       -7017.194
     908    48.4101        -7013.467       -7013.467
     910    48.4138        -7019.652       -7019.652
     912    48.4188        -7026.081       -7026.081
     914    48.4215        -7025.829       -7025.829
     916    48.4226        -7017.424       -7017.424
     918    48.4279        -7013.740       -7013.740
     920    48.4305        -6990.089       -6990.089
     922    48.4352        -7029.027       -7029.027
     924    48.4375        -6999.194       -6999.194
     926    48.4406        -7005.842       -7005.842
     928    48.4450        -7003.516       -7003.516
     930    48.4460        -7013.815       -7013.815
     932    48.4479        -6998.223       -6998.223
     934    48.4502        -6988.460       -6988.460
     936    48.4540        -7027.347       -7027.347
     938    48.4562        -7039.216       -7039.216
     940    48.4589        -7029.775       -7029.775
     942    48.4609        -7013.557       -7013.557
     944    48.4643        -7024.486       -7024.486
     946    48.4682        -6998.834       -6998.834
     948    48.4720        -7005.130       -7005.130
     950    48.4733        -7011.425       -7011.425
     952    48.4759        -7034.645       -7034.645
     954    48.4792        -7009.493       -7009.493
     956    48.4814        -7004.742       -7004.742
