No. moves  % accept.   % accept. vol.   <E_tot>      <E_sr>    <Vol>      <Lx>     <Ly>    <Lz>
     10334    85.4698    55.2739    -359.677       -359.677      461741420.69      772.86398      772.86398      772.86398
     10336    85.4719    55.2728    -359.680       -359.680      461845863.69      772.92185      772.92185      772.92185
     10338    85.4740    55.2815    -359.704       -359.704      461953065.52      772.98121      772.98121      772.98121
     10340    85.4762    55.2805    -359.677       -359.677      462060670.33      773.04077      773.04077      773.04077
     10342    85.4783    55.2698    -359.630       -359.630      462167016.61      773.09964      773.09964      773.09964
     10344    85.4804    55.2784    -359.536       -359.536      462274547.15      773.15914      773.15914      773.15914
     10346    85.4825    55.2677    -359.478       -359.478      462380834.57      773.21795      773.21795      773.21795
     10348    85.4846    55.2667    -359.476       -359.476      462485910.75      773.27609      773.27609      773.27609
     10350    85.4867    55.2657    -359.505       -359.505      462591592.82      773.33455      773.33455      773.33455
     10352    85.4889    55.2647    -359.533       -359.533      462696410.63      773.39253      773.39253      773.39253
     10354    85.4910    55.2637    -359.605       -359.605      462800883.18      773.45030      773.45030      773.45030
     10356    85.4932    55.2530    -359.623       -359.623      462904181.88      773.50743      773.50743      773.50743
     10358    85.4953    55.2520    -359.618       -359.618      463008665.62      773.56519      773.56519      773.56519
     10360    85.4975    55.2510    -359.586       -359.586      463113362.86      773.62305      773.62305      773.62305
     10362    85.4996    55.2596    -359.551       -359.551      463218976.94      773.68140      773.68140      773.68140
     10364    85.5018    55.2586    -359.541       -359.541      463324999.21      773.73995      773.73995      773.73995
     10366    85.5039    55.2576    -359.538       -359.538      463430398.42      773.79816      773.79816      773.79816
     10368    85.5061    55.2662    -359.471       -359.471      463537692.78      773.85738      773.85738      773.85738
     10370    85.5082    55.2652    -359.426       -359.426      463646754.89      773.91755      773.91755      773.91755
     10372    85.5104    55.2738    -359.362       -359.362      463758270.95      773.97902      773.97902      773.97902
     10374    85.5126    55.2824    -359.334       -359.334      463870782.74      774.04103      774.04103      774.04103
     10376    85.5147    55.2911    -359.275       -359.275      463980892.60      774.10172      774.10172      774.10172
     10378    85.5169    55.2900    -359.205       -359.205      464090686.73      774.16223      774.16223      774.16223
     10380    85.5190    55.2987    -359.206       -359.206      464199783.01      774.22235      774.22235      774.22235
     10382    85.5212    55.2976    -359.165       -359.165      464309760.44      774.28293      774.28293      774.28293
     10384    85.5233    55.2870    -359.158       -359.158      464418592.27      774.34289      774.34289      774.34289
     10386    85.5254    55.2860    -359.143       -359.143      464528342.63      774.40332      774.40332      774.40332
