No. moves  % accept.   % accept. vol.   <E_tot>      <E_sr>    <Vol>      <Lx>     <Ly>    <Lz>
     10220    85.3992    55.8806    -321.366       -321.366      454129695.23      768.62265      768.62265      768.62265
     10222    85.4015    55.8795    -321.211       -321.211      454254378.17      768.69251      768.69251      768.69251
     10224    85.4037    55.8783    -321.017       -321.017      454380309.46      768.76304      768.76304      768.76304
     10226    85.4060    55.8870    -320.878       -320.878      454507356.46      768.83417      768.83417      768.83417
     10228    85.4083    55.8956    -320.751       -320.751      454639505.00      768.90810      768.90810      768.90810
     10230    85.4105    55.8944    -320.634       -320.634      454771303.29      768.98182      768.98182      768.98182
     10232    85.4128    55.8835    -320.485       -320.485      454900829.20      769.05426      769.05426      769.05426
     10234    85.4151    55.8824    -320.343       -320.343      455028558.63      769.12570      769.12570      769.12570
     10236    85.4173    55.8910    -320.200       -320.200      455157226.08      769.19764      769.19764      769.19764
     10238    85.4195    55.8996    -320.059       -320.059      455292684.67      769.27330      769.27330      769.27330
     10240    85.4218    55.8887    -319.974       -319.974      455425885.62      769.34770      769.34770      769.34770
     10242    85.4241    55.8778    -319.790       -319.790      455556884.90      769.42088      769.42088      769.42088
     10244    85.4264    55.8864    -319.620       -319.620      455685667.38      769.49281      769.49281      769.49281
     10246    85.4286    55.8852    -319.403       -319.403      455815025.59      769.56504      769.56504      769.56504
     10248    85.4309    55.8938    -319.262       -319.262      455946080.59      769.63819      769.63819      769.63819
     10250    85.4332    55.8927    -319.124       -319.124      456078044.37      769.71182      769.71182      769.71182
     10252    85.4354    55.8915    -318.981       -318.981      456211156.85      769.78606      769.78606      769.78606
     10254    85.4378    55.8806    -318.812       -318.812      456342173.06      769.85914      769.85914      769.85914
     10256    85.4400    55.8795    -318.629       -318.629      456472174.37      769.93164      769.93164      769.93164
     10258    85.4423    55.8881    -318.481       -318.481      456605506.28      770.00595      770.00595      770.00595
     10260    85.4446    55.8869    -318.308       -318.308      456739679.31      770.08070      770.08070      770.08070
     10262    85.4469    55.8955    -318.108       -318.108      456878409.45      770.15793      770.15793      770.15793
     10264    85.4492    55.8846    -317.911       -317.911      457015037.62      770.23399      770.23399      770.23399
     10266    85.4515    55.8835    -317.751       -317.751      457152666.19      770.31058      770.31058      770.31058
     10268    85.4538    55.8921    -317.595       -317.595      457294936.89      770.38969      770.38969      770.38969
     10270    85.4561    55.9007    -317.462       -317.462      457441053.52      770.47088      770.47088      770.47088
     10272    85.4583    55.8995    -317.362       -317.362      457587101.07      770.55201      770.55201      770.55201
     10274    85.4606    55.8984    -317.279       -317.279      457732735.89      770.63289      770.63289      770.63289
     10276    85.4628    55.8875    -317.198       -317.198      457876260.06      770.71261      770.71261      770.71261
     10278    85.4651    55.8766    -317.114       -317.114      458017719.14      770.79117      770.79117      770.79117
     10280    85.4673    55.8852    -317.044       -317.044      458160691.89      770.87054      770.87054      770.87054
     10282    85.4696    55.8743    -316.985       -316.985      458301636.67      770.94879      770.94879      770.94879
     10284    85.4718    55.8829    -316.893       -316.893      458440557.62      771.02591      771.02591      771.02591
     10286    85.4741    55.8915    -316.812       -316.812      458578377.13      771.10241      771.10241      771.10241
     10288    85.4764    55.9001    -316.701       -316.701      458717532.57      771.17962      771.17962      771.17962
     10290    85.4787    55.9086    -316.637       -316.637      458856410.59      771.25666      771.25666      771.25666
     10292    85.4809    55.9172    -316.541       -316.541      458996068.17      771.33410      771.33410      771.33410
     10294    85.4831    55.9161    -316.456       -316.456      459134791.15      771.41102      771.41102      771.41102
     10296    85.4854    55.9149    -316.366       -316.366      459273722.85      771.48803      771.48803      771.48803
     10298    85.4876    55.9235    -316.276       -316.276      459412347.33      771.56485      771.56485      771.56485
     10300    85.4899    55.9320    -316.206       -316.206      459550769.52      771.64155      771.64155      771.64155
     10302    85.4921    55.9212    -316.120       -316.120      459687358.31      771.71723      771.71723      771.71723
