No. moves  % accept.   % acc. vol.    E_tot          E_sr          Vol       Lx        Ly        Lz
     192    56.6225        49.4792         -5697.985      -5697.985     189773.83  57.46615  57.46615  57.46615
     194    56.6433        49.4845         -5689.432      -5689.432     192753.94  57.76540  57.76540  57.76540
     196    56.6702        49.4898         -5691.121      -5691.121     191857.76  57.67573  57.67573  57.67573
     198    56.6827        48.9899         -5700.677      -5700.677     191857.76  57.67573  57.67573  57.67573
     200    56.6953        48.5000         -5675.163      -5675.163     191857.76  57.67573  57.67573  57.67573
     202    56.7106        49.0099         -5665.256      -5665.256     195385.77  58.02711  58.02711  58.02711
     204    56.7308        49.5098         -5685.869      -5685.869     196425.16  58.12983  58.12983  58.12983
     206    56.7489        50.0000         -5679.352      -5679.352     199308.04  58.41283  58.41283  58.41283
     208    56.7762        50.4808         -5677.273      -5677.273     199267.83  58.40891  58.40891  58.40891
     210    56.7979        50.9524         -5668.403      -5668.403     202886.85  58.76038  58.76038  58.76038
     212    56.8202        51.4151         -5636.328      -5636.328     202954.45  58.76691  58.76691  58.76691
     214    56.8415        51.8692         -5619.679      -5619.679     206515.66  59.10864  59.10864  59.10864
     216    56.8574        51.8519         -5611.039      -5611.039     206623.51  59.11893  59.11893  59.11893
     218    56.8755        52.2936         -5575.146      -5575.146     208532.32  59.30042  59.30042  59.30042
     220    56.8964        52.7273         -5550.669      -5550.669     209662.32  59.40734  59.40734  59.40734
     222    56.9249        53.1532         -5535.811      -5535.811     211315.08  59.56304  59.56304  59.56304
     224    56.9503        53.5714         -5509.173      -5509.173     215491.61  59.95289  59.95289  59.95289
     226    56.9713        53.9823         -5473.563      -5473.563     217083.80  60.10018  60.10018  60.10018
     228    56.9950        53.9474         -5480.314      -5480.314     219795.87  60.34943  60.34943  60.34943
     230    57.0177        54.3478         -5488.348      -5488.348     220917.74  60.45193  60.45193  60.45193
     232    57.0379        54.7414         -5468.236      -5468.236     224532.13  60.77983  60.77983  60.77983
     234    57.0657        55.1282         -5433.346      -5433.346     226513.48  60.95809  60.95809  60.95809
     236    57.0929        55.0847         -5410.864      -5410.864     227163.55  61.01635  61.01635  61.01635
     238    57.1131        54.6218         -5444.536      -5444.536     227163.55  61.01635  61.01635  61.01635
     240    57.1359        54.1667         -5463.899      -5463.899     227163.55  61.01635  61.01635  61.01635
     242    57.1641        54.1322         -5466.262      -5466.262     228380.12  61.12508  61.12508  61.12508
     244    57.1834        54.0984         -5447.702      -5447.702     230892.56  61.34841  61.34841  61.34841
     246    57.1975        53.6585         -5450.093      -5450.093     230892.56  61.34841  61.34841  61.34841
     248    57.2188        53.6290         -5450.473      -5450.473     232950.53  61.53014  61.53014  61.53014
     250    57.2486        53.6000         -5417.170      -5417.170     236285.47  61.82237  61.82237  61.82237
     252    57.2763        53.9683         -5388.615      -5388.615     241258.78  62.25311  62.25311  62.25311
     254    57.3039        53.9370         -5371.309      -5371.309     242011.74  62.31780  62.31780  62.31780
     256    57.3231        53.9062         -5390.513      -5390.513     241819.51  62.30130  62.30130  62.30130
     258    57.3483        53.8760         -5393.306      -5393.306     242234.90  62.33695  62.33695  62.33695
     260    57.3724        53.8462         -5391.471      -5391.471     244077.71  62.49463  62.49463  62.49463
     262    57.3957        54.1985         -5357.721      -5357.721     245698.77  62.63268  62.63268  62.63268
     264    57.4076        54.5455         -5371.766      -5371.766     248508.64  62.87054  62.87054  62.87054
     266    57.4218        54.8872         -5339.226      -5339.226     255065.22  63.41866  63.41866  63.41866
     268    57.4416        54.4776         -5366.768      -5366.768     255065.22  63.41866  63.41866  63.41866
     270    57.4650        54.8148         -5333.186      -5333.186     258787.26  63.72565  63.72565  63.72565
     272    57.4904        55.1471         -5324.301      -5324.301     262155.48  64.00093  64.00093  64.00093
     274    57.5122        55.1095         -5307.784      -5307.784     262350.88  64.01683  64.01683  64.01683
     276    57.5320        55.0725         -5331.463      -5331.463     263990.92  64.14995  64.14995  64.14995
     278    57.5559        54.6763         -5349.078      -5349.078     263990.92  64.14995  64.14995  64.14995
     280    57.5727        54.2857         -5349.097      -5349.097     263990.92  64.14995  64.14995  64.14995
     282    57.5870        54.2553         -5345.729      -5345.729     264981.14  64.23006  64.23006  64.23006
     284    57.6026        54.5775         -5363.918      -5363.918     265677.34  64.28626  64.28626  64.28626
     286    57.6120        54.1958         -5351.812      -5351.812     265677.34  64.28626  64.28626  64.28626
     288    57.6227        54.1667         -5357.313      -5357.313     268481.58  64.51165  64.51165  64.51165
     290    57.6402        54.1379         -5352.899      -5352.899     268813.01  64.53819  64.53819  64.53819
     292    57.6520        54.1096         -5311.006      -5311.006     270029.17  64.63537  64.63537  64.63537
     294    57.6696        54.4218         -5296.140      -5296.140     272099.51  64.80014  64.80014  64.80014
     296    57.6885        54.0541         -5327.557      -5327.557     272099.51  64.80014  64.80014  64.80014
     298    57.6993        54.0268         -5304.269      -5304.269     274783.68  65.01252  65.01252  65.01252
     300    57.7091        54.0000         -5283.088      -5283.088     275102.59  65.03766  65.03766  65.03766
     302    57.7254        53.6424         -5264.414      -5264.414     275102.59  65.03766  65.03766  65.03766
     304    57.7423        53.6184         -5265.854      -5265.854     274941.96  65.02500  65.02500  65.02500
     306    57.7557        53.9216         -5253.033      -5253.033     276751.86  65.16737  65.16737  65.16737
     308    57.7698        53.8961         -5247.714      -5247.714     279870.46  65.41124  65.41124  65.41124
     310    57.7883        53.5484         -5250.171      -5250.171     279870.46  65.41124  65.41124  65.41124
     312    57.8078        53.5256         -5237.124      -5237.124     283040.48  65.65727  65.65727  65.65727
     314    57.8230        53.8217         -5232.453      -5232.453     286824.01  65.94854  65.94854  65.94854
     316    57.8397        53.7975         -5214.599      -5214.599     286944.98  65.95781  65.95781  65.95781
     318    57.8595        53.7736         -5204.832      -5204.832     288608.08  66.08499  66.08499  66.08499
     320    57.8796        53.7500         -5203.942      -5203.942     290867.89  66.25702  66.25702  66.25702
     322    57.9011        53.7267         -5211.239      -5211.239     294268.80  66.51426  66.51426  66.51426
     324    57.9188        54.0123         -5203.773      -5203.773     294706.39  66.54721  66.54721  66.54721
     326    57.9298        53.9877         -5212.018      -5212.018     297633.02  66.76677  66.76677  66.76677
     328    57.9487        54.2683         -5172.195      -5172.195     301792.58  67.07636  67.07636  67.07636
     330    57.9654        54.5455         -5152.300      -5152.300     305163.41  67.32517  67.32517  67.32517
     332    57.9851        54.5181         -5150.006      -5150.006     308464.94  67.56710  67.56710  67.56710
     334    58.0022        54.4910         -5143.658      -5143.658     311929.30  67.81911  67.81911  67.81911
     336    58.0198        54.1667         -5140.189      -5140.189     311929.30  67.81911  67.81911  67.81911
     338    58.0378        54.1420         -5125.064      -5125.064     313398.31  67.92540  67.92540  67.92540
     340    58.0547        54.4118         -5113.623      -5113.623     317532.33  68.22277  68.22277  68.22277
     342    58.0743        54.6784         -5110.354      -5110.354     320861.19  68.46034  68.46034  68.46034
     344    58.0882        54.6512         -5107.200      -5107.200     323986.20  68.68188  68.68188  68.68188
     346    58.1048        54.9133         -5088.934      -5088.934     325007.68  68.75398  68.75398  68.75398
     348    58.1246        54.8851         -5095.204      -5095.204     328114.98  68.97240  68.97240  68.97240
     350    58.1344        54.5714         -5119.342      -5119.342     328114.98  68.97240  68.97240  68.97240
     352    58.1544        54.5455         -5095.158      -5095.158     331207.67  69.18843  69.18843  69.18843
     354    58.1687        54.5198         -5112.368      -5112.368     331064.04  69.17842  69.17842  69.17842
     356    58.1850        54.4944         -5096.248      -5096.248     333606.46  69.35506  69.35506  69.35506
     358    58.1976        54.1899         -5102.953      -5102.953     333606.46  69.35506  69.35506  69.35506
     360    58.2131        54.1667         -5096.220      -5096.220     337908.78  69.65193  69.65193  69.65193
     362    58.2308        54.1436         -5097.685      -5097.685     339923.47  69.79008  69.79008  69.79008
     364    58.2474        54.1209         -5059.151      -5059.151     339838.96  69.78430  69.78430  69.78430
     366    58.2634        54.0984         -5041.399      -5041.399     342550.82  69.96943  69.96943  69.96943
     368    58.2750        53.8043         -5037.392      -5037.392     342550.82  69.96943  69.96943  69.96943
     370    58.2882        53.5135         -5041.106      -5041.106     342550.82  69.96943  69.96943  69.96943
     372    58.3085        53.7634         -5050.922      -5050.922     346206.80  70.21747  70.21747  70.21747
     374    58.3249        53.7433         -5035.991      -5035.991     349735.52  70.45523  70.45523  70.45523
     376    58.3419        53.9894         -5012.370      -5012.370     353785.55  70.72615  70.72615  70.72615
     378    58.3605        54.2328         -5020.259      -5020.259     356072.43  70.87822  70.87822  70.87822
     380    58.3794        53.9474         -5006.222      -5006.222     356072.43  70.87822  70.87822  70.87822
     382    58.3969        53.9267         -5024.370      -5024.370     356230.61  70.88871  70.88871  70.88871
     384    58.4170        53.9062         -4988.149      -4988.149     360028.45  71.13974  71.13974  71.13974
     386    58.4327        53.8860         -4974.318      -4974.318     360893.82  71.19669  71.19669  71.19669
     388    58.4491        53.8660         -5006.260      -5006.260     362725.76  71.31696  71.31696  71.31696
     390    58.4663        53.8462         -4985.696      -4985.696     366231.69  71.54599  71.54599  71.54599
     392    58.4835        54.0816         -4976.422      -4976.422     371030.10  71.85710  71.85710  71.85710
     394    58.4999        54.0609         -4973.373      -4973.373     372518.75  71.95308  71.95308  71.95308
     396    58.5164        54.2929         -4936.110      -4936.110     378449.26  72.33290  72.33290  72.33290
     398    58.5374        54.5226         -4889.439      -4889.439     383606.82  72.66001  72.66001  72.66001
     400    58.5614        54.5000         -4888.689      -4888.689     382572.77  72.59466  72.59466  72.59466
     402    58.5816        54.2289         -4882.023      -4882.023     382572.77  72.59466  72.59466  72.59466
     404    58.5994        53.9604         -4876.385      -4876.385     382572.77  72.59466  72.59466  72.59466
     406    58.6214        53.9409         -4879.365      -4879.365     386426.83  72.83762  72.83762  72.83762
     408    58.6418        54.1667         -4871.096      -4871.096     390084.26  73.06670  73.06670  73.06670
     410    58.6636        54.1463         -4869.732      -4869.732     391194.59  73.13596  73.13596  73.13596
     412    58.6817        54.1262         -4874.804      -4874.804     392878.21  73.24073  73.24073  73.24073
     414    58.6984        54.1063         -4873.069      -4873.069     393884.04  73.30318  73.30318  73.30318
     416    58.7155        54.3269         -4868.686      -4868.686     402433.61  73.82975  73.82975  73.82975
     418    58.7412        54.3062         -4844.331      -4844.331     404273.36  73.94209  73.94209  73.94209
     420    58.7620        54.2857         -4830.877      -4830.877     407814.96  74.15738  74.15738  74.15738
