No. moves  % accept.   % acc. vol.    E_tot          E_sr          Vol       Lx        Ly        Lz
     400    57.1202        46.7500         -4888.727      -4888.727     379352.08  65.87012  65.37782  88.08939
     402    57.1475        47.0149         -4905.469      -4905.469     383853.37  66.12963  65.63539  88.43643
     404    57.1721        47.0297         -4896.162      -4896.162     385907.85  66.24740  65.75228  88.59393
     406    57.1976        47.0443         -4882.241      -4882.241     387215.60  66.32215  65.82647  88.69389
     408    57.2226        46.8137         -4873.375      -4873.375     387215.60  66.32215  65.82647  88.69389
     410    57.2520        46.5854         -4904.392      -4904.392     387215.60  66.32215  65.82647  88.69389
     412    57.2700        46.8447         -4901.194      -4901.194     392133.38  66.60174  66.10397  89.06780
     414    57.2927        46.8599         -4886.799      -4886.799     392459.62  66.62020  66.12230  89.09249
     416    57.3150        47.1154         -4865.130      -4865.130     397182.31  66.88637  66.38647  89.44843
     418    57.3366        46.8900         -4871.755      -4871.755     397182.31  66.88637  66.38647  89.44843
     420    57.3562        47.1429         -4857.183      -4857.183     402685.57  67.19387  66.69167  89.85966
     422    57.3766        47.3934         -4806.311      -4806.311     407191.96  67.44359  66.93953  90.19362
     424    57.4023        47.4057         -4800.947      -4800.947     407245.33  67.44654  66.94245  90.19756
     426    57.4272        47.1831         -4810.588      -4810.588     407245.33  67.44654  66.94245  90.19756
     428    57.4563        47.4299         -4807.837      -4807.837     412708.82  67.74682  67.24049  90.59913
     430    57.4843        47.6744         -4801.163      -4801.163     415667.77  67.90833  67.40080  90.81513
     432    57.5074        47.6852         -4809.441      -4809.441     417490.62  68.00746  67.49918  90.94769
     434    57.5292        47.9263         -4815.564      -4815.564     424014.09  68.35984  67.84893  91.41894
     436    57.5530        47.9358         -4835.729      -4835.729     423951.15  68.35646  67.84558  91.41442
     438    57.5725        47.7169         -4826.171      -4826.171     423951.15  68.35646  67.84558  91.41442
     440    57.5912        47.5000         -4830.056      -4830.056     423951.15  68.35646  67.84558  91.41442
     442    57.6129        47.5113         -4834.479      -4834.479     425020.39  68.41388  67.90257  91.49121
     444    57.6318        47.5225         -4831.055      -4831.055     427722.41  68.55855  68.04616  91.68468
     446    57.6576        47.5336         -4794.637      -4794.637     432255.36  68.79989  68.28569  92.00743
     448    57.6778        47.5446         -4802.971      -4802.971     433839.05  68.88381  68.36899  92.11966
     450    57.6996        47.7778         -4796.401      -4796.401     439040.31  69.15800  68.64113  92.48634
     452    57.7257        47.7876         -4778.508      -4778.508     441096.97  69.26582  68.74814  92.63053
     454    57.7448        47.7974         -4779.934      -4779.934     445476.10  69.49429  68.97490  92.93606
     456    57.7696        47.8070         -4783.673      -4783.673     450231.14  69.74067  69.21944  93.26556
     458    57.7928        47.8166         -4771.750      -4771.750     454848.68  69.97828  69.45528  93.58331
     460    57.8142        47.8261         -4755.986      -4755.986     455498.80  70.01161  69.48835  93.62788
     462    57.8370        47.8355         -4725.668      -4725.668     457589.81  70.11858  69.59452  93.77093
     464    57.8645        47.8448         -4730.341      -4730.341     461267.38  70.30592  69.78046  94.02147
     466    57.8884        47.6395         -4728.453      -4728.453     461267.38  70.30592  69.78046  94.02147
     468    57.9108        47.6496         -4705.455      -4705.455     464006.09  70.44479  69.91829  94.20718
     470    57.9341        47.4468         -4713.216      -4713.216     464006.09  70.44479  69.91829  94.20718
     472    57.9587        47.6695         -4691.114      -4691.114     468063.73  70.64953  70.12151  94.48099
     474    57.9794        47.6793         -4691.094      -4691.094     471922.92  70.84317  70.31370  94.73995
     476    58.0019        47.6891         -4709.241      -4709.241     474301.45  70.96199  70.43163  94.89884
     478    58.0205        47.6987         -4675.745      -4675.745     480100.12  71.25001  70.71749  95.28401
     480    58.0385        47.7083         -4692.871      -4692.871     480396.65  71.26467  70.73205  95.30363
     482    58.0562        47.9253         -4662.927      -4662.927     486621.52  71.57116  71.03625  95.71350
     484    58.0773        48.1405         -4657.241      -4657.241     491576.75  71.81328  71.27656  96.03729
     486    58.1004        48.1481         -4662.769      -4662.769     495948.81  72.02555  71.48724  96.32116
     488    58.1282        48.1557         -4635.298      -4635.298     498267.49  72.13762  71.59848  96.47104
     490    58.1481        47.9592         -4638.526      -4638.526     498267.49  72.13762  71.59848  96.47104
     492    58.1688        47.9675         -4630.472      -4630.472     500396.76  72.24023  71.70032  96.60826
     494    58.1887        47.7733         -4642.257      -4642.257     500396.76  72.24023  71.70032  96.60826
     496    58.2099        47.7823         -4618.273      -4618.273     505472.05  72.48364  71.94191  96.93378
     498    58.2354        47.9920         -4577.382      -4577.382     512111.90  72.79964  72.25555  97.35637
     500    58.2546        47.8000         -4564.670      -4564.670     512111.90  72.79964  72.25555  97.35637
     502    58.2728        47.8088         -4576.483      -4576.483     514460.98  72.91079  72.36586  97.50501
     504    58.2940        47.8175         -4593.768      -4593.768     516558.36  73.00973  72.46407  97.63733
     506    58.3151        47.8261         -4577.666      -4577.666     521192.30  73.22740  72.68011  97.92842
     508    58.3358        47.8346         -4568.007      -4568.007     521284.41  73.23172  72.68439  97.93419
     510    58.3573        48.0392         -4576.124      -4576.124     527646.20  73.52842  72.97888  98.33098
     512    58.3794        48.0469         -4589.251      -4589.251     531779.19  73.71990  73.16893  98.58705
     514    58.4036        47.8599         -4584.176      -4584.176     531779.19  73.71990  73.16893  98.58705
