No. moves  % accept.   % accept. vol.   <E_tot>      <E_sr>    <Vol>      <Lx>     <Ly>    <Lz>
     10258    86.2121    55.3032    -299.711       -299.711      636699634.61      782.77207      776.92175      1046.81626
     10260    86.2143    55.3119    -299.608       -299.608      636857709.19      782.83640      776.98561      1046.90230
     10262    86.2165    55.3206    -299.529       -299.529      637016762.83      782.90112      777.04984      1046.98884
     10264    86.2186    55.3196    -299.472       -299.472      637175001.31      782.96549      777.11373      1047.07493
     10266    86.2207    55.3283    -299.384       -299.384      637341394.10      783.03312      777.18085      1047.16537
     10268    86.2229    55.3175    -299.311       -299.311      637505303.42      783.09974      777.24697      1047.25445
     10270    86.2251    55.3262    -299.269       -299.269      637669591.81      783.16649      777.31323      1047.34373
     10272    86.2272    55.3349    -299.222       -299.222      637834229.42      783.23337      777.37961      1047.43316
     10274    86.2294    55.3241    -299.118       -299.118      637996463.55      783.29927      777.44502      1047.52130
     10276    86.2315    55.3231    -299.019       -299.019      638154282.41      783.36339      777.50866      1047.60705
     10278    86.2337    55.3318    -298.967       -298.967      638315611.43      783.42890      777.57368      1047.69466
     10280    86.2358    55.3210    -298.939       -298.939      638474635.75      783.49348      777.63777      1047.78102
     10282    86.2380    55.3297    -298.906       -298.906      638635742.41      783.55887      777.70268      1047.86847
     10284    86.2400    55.3287    -298.896       -298.896      638790642.57      783.62177      777.76511      1047.95258
     10286    86.2422    55.3179    -298.899       -298.899      638943376.31      783.68379      777.82666      1048.03552
     10288    86.2443    55.3169    -298.844       -298.844      639093415.53      783.74472      777.88714      1048.11700
     10290    86.2464    55.3061    -298.769       -298.769      639241385.24      783.80481      777.94678      1048.19736
     10292    86.2485    55.3148    -298.681       -298.681      639391595.07      783.86578      778.00729      1048.27890
     10294    86.2506    55.3235    -298.593       -298.593      639541049.70      783.92644      778.06749      1048.36002
     10296    86.2527    55.3225    -298.522       -298.522      639687443.63      783.98586      778.12647      1048.43948
     10298    86.2549    55.3214    -298.447       -298.447      639835964.70      784.04611      778.18628      1048.52006
     10300    86.2570    55.3107    -298.352       -298.352      639982505.50      784.10557      778.24529      1048.59957
     10302    86.2591    55.3096    -298.270       -298.270      640130924.31      784.16576      778.30503      1048.68007
     10304    86.2613    55.3183    -298.210       -298.210      640282993.63      784.22740      778.36620      1048.76250
     10306    86.2634    55.3173    -298.144       -298.144      640437557.42      784.29001      778.42835      1048.84623
     10308    86.2655    55.3066    -298.114       -298.114      640590113.90      784.35182      778.48969      1048.92889
     10310    86.2677    55.2958    -298.014       -298.014      640740701.90      784.41282      778.55024      1049.01047
     10312    86.2698    55.3045    -297.936       -297.936      640892193.55      784.47418      778.61114      1049.09252
     10314    86.2719    55.3035    -297.848       -297.848      641044649.62      784.53590      778.67240      1049.17506
     10316    86.2740    55.3121    -297.789       -297.789      641194632.39      784.59663      778.73268      1049.25628
     10318    86.2762    55.3014    -297.739       -297.739      641342728.59      784.65659      778.79219      1049.33646
     10320    86.2783    55.3101    -297.624       -297.624      641491643.77      784.71687      778.85202      1049.41707
     10322    86.2805    55.3090    -297.561       -297.561      641638401.13      784.77627      778.91098      1049.49652
     10324    86.2826    55.3177    -297.459       -297.459      641787923.79      784.83676      778.97102      1049.57742
     10326    86.2847    55.3070    -297.351       -297.351      641935611.81      784.89651      779.03032      1049.65732
     10328    86.2868    55.2963    -297.231       -297.231      642081498.76      784.95554      779.08890      1049.73625
     10330    86.2890    55.3049    -297.096       -297.096      642232038.74      785.01640      779.14931      1049.81764
     10332    86.2912    55.3039    -296.977       -296.977      642385082.02      785.07824      779.21069      1049.90034
     10334    86.2933    55.3029    -296.915       -296.915      642535569.39      785.13905      779.27104      1049.98167
     10336    86.2954    55.2922    -296.852       -296.852      642684265.25      785.19914      779.33068      1050.06203
     10338    86.2976    55.3008    -296.760       -296.760      642833741.21      785.25953      779.39062      1050.14278
     10340    86.2997    55.2901    -296.665       -296.665      642981458.62      785.31920      779.44985      1050.22259
     10342    86.3019    55.2988    -296.611       -296.611      643127416.72      785.37817      779.50837      1050.30144
     10344    86.3040    55.2978    -296.541       -296.541      643271370.08      785.43632      779.56610      1050.37922
     10346    86.3061    55.3064    -296.469       -296.469      643421134.13      785.49678      779.62610      1050.46006
     10348    86.3082    55.3054    -296.390       -296.390      643568882.19      785.55641      779.68529      1050.53982
     10350    86.3104    55.3043    -296.291       -296.291      643715309.00      785.61552      779.74395      1050.61886
     10352    86.3125    55.3033    -296.173       -296.173      643862082.56      785.67475      779.80274      1050.69807
     10354    86.3147    55.3120    -296.052       -296.052      644013155.86      785.73567      779.86320      1050.77954
     10356    86.3168    55.3109    -295.941       -295.941      644164038.04      785.79650      779.92358      1050.86089
     10358    86.3189    55.3099    -295.849       -295.849      644316368.21      785.85789      779.98451      1050.94299
     10360    86.3211    55.3089    -295.791       -295.791      644465067.45      785.91783      780.04401      1051.02315
     10362    86.3231    55.3079    -295.727       -295.727      644612462.06      785.97724      780.10298      1051.10260
     10364    86.3252    55.3165    -295.674       -295.674      644765892.04      786.03903      780.16430      1051.18523
     10366    86.3273    55.3155    -295.625       -295.625      644914097.91      786.09874      780.22357      1051.26509
     10368    86.3294    55.3241    -295.554       -295.554      645067370.50      786.16044      780.28481      1051.34760
     10370    86.3315    55.3327    -295.529       -295.529      645224114.09      786.22350      780.34739      1051.43193
     10372    86.3336    55.3220    -295.483       -295.483      645379172.26      786.28588      780.40930      1051.51535
     10374    86.3357    55.3210    -295.428       -295.428      645533782.07      786.34807      780.47103      1051.59851
     10376    86.3378    55.3296    -295.397       -295.397      645689493.71      786.41068      780.53317      1051.68225
     10378    86.3399    55.3286    -295.377       -295.377      645846068.50      786.47362      780.59564      1051.76641
     10380    86.3419    55.3276    -295.356       -295.356      646001592.94      786.53613      780.65768      1051.85001
     10382    86.3440    55.3169    -295.330       -295.330      646155488.84      786.59799      780.71908      1051.93273
     10384    86.3461    55.3062    -295.321       -295.321      646307781.67      786.65920      780.77983      1052.01459
     10386    86.3481    55.3052    -295.299       -295.299      646460304.83      786.72049      780.84067      1052.09656
     10388    86.3502    55.3138    -295.263       -295.263      646616807.49      786.78333      780.90304      1052.18060
     10390    86.3523    55.3128    -295.203       -295.203      646774393.09      786.84659      780.96582      1052.26520
     10392    86.3544    55.3022    -295.119       -295.119      646930370.67      786.90920      781.02797      1052.34893
     10394    86.3565    55.3108    -295.054       -295.054      647088145.06      786.97251      781.09080      1052.43359
     10396    86.3586    55.3097    -294.982       -294.982      647247999.98      787.03662      781.15443      1052.51932
     10398    86.3608    55.3183    -294.873       -294.873      647410921.95      787.10191      781.21924      1052.60665
     10400    86.3629    55.3269    -294.767       -294.767      647571516.29      787.16629      781.28313      1052.69273
     10402    86.3650    55.3259    -294.682       -294.682      647733832.96      787.23132      781.34768      1052.77970
     10404    86.3671    55.3249    -294.582       -294.582      647897430.49      787.29684      781.41271      1052.86733
     10406    86.3692    55.3335    -294.472       -294.472      648061726.57      787.36263      781.47800      1052.95530
     10408    86.3713    55.3324    -294.361       -294.361      648226393.63      787.42854      781.54342      1053.04345
     10410    86.3734    55.3410    -294.254       -294.254      648395468.43      787.49616      781.61054      1053.13388
     10412    86.3755    55.3496    -294.145       -294.145      648563129.51      787.56322      781.67710      1053.22356
     10414    86.3776    55.3486    -294.019       -294.019      648730250.41      787.63005      781.74343      1053.31293
     10416    86.3797    55.3379    -293.888       -293.888      648895764.37      787.69624      781.80912      1053.40145
     10418    86.3818    55.3273    -293.749       -293.749      649059694.47      787.76179      781.87419      1053.48912
     10420    86.3840    55.3263    -293.593       -293.593      649221510.26      787.82651      781.93842      1053.57566
     10422    86.3861    55.3253    -293.449       -293.449      649381818.94      787.89062      782.00205      1053.66140
     10424    86.3882    55.3147    -293.323       -293.323      649540615.27      787.95413      782.06508      1053.74633
     10426    86.3903    55.3040    -293.214       -293.214      649697920.56      788.01704      782.12752      1053.83046
     10428    86.3924    55.3030    -293.089       -293.089      649854049.84      788.07947      782.18949      1053.91396
     10430    86.3945    55.3116    -292.955       -292.955      650011016.14      788.14223      782.25178      1053.99787
     10432    86.3967    55.3202    -292.830       -292.830      650170042.68      788.20577      782.31484      1054.08285
     10434    86.3988    55.3287    -292.712       -292.712      650330095.20      788.26970      782.37830      1054.16835
     10436    86.4009    55.3373    -292.598       -292.598      650490604.43      788.33379      782.44191      1054.25406
     10438    86.4029    55.3267    -292.489       -292.489      650649647.83      788.39730      782.50495      1054.33900
     10440    86.4051    55.3257    -292.409       -292.409      650805767.72      788.45966      782.56684      1054.42239
     10442    86.4071    55.3342    -292.320       -292.320      650964646.59      788.52308      782.62978      1054.50720
     10444    86.4092    55.3428    -292.211       -292.211      651125252.69      788.58716      782.69338      1054.59289
     10446    86.4113    55.3322    -292.112       -292.112      651284418.37      788.65066      782.75641      1054.67782
     10448    86.4134    55.3312    -292.021       -292.021      651444538.09      788.71453      782.81980      1054.76322
     10450    86.4155    55.3397    -291.935       -291.935      651607472.57      788.77947      782.88426      1054.85008
     10452    86.4176    55.3483    -291.857       -291.857      651772132.12      788.84508      782.94937      1054.93781
     10454    86.4197    55.3472    -291.770       -291.770      651935065.84      788.90999      783.01381      1055.02462
     10456    86.4218    55.3558    -291.689       -291.689      652097613.99      788.97475      783.07808      1055.11122
     10458    86.4238    55.3643    -291.610       -291.610      652263181.13      789.04066      783.14350      1055.19937
     10460    86.4259    55.3633    -291.570       -291.570      652428239.56      789.10636      783.20871      1055.28723
     10462    86.4281    55.3527    -291.525       -291.525      652591868.92      789.17150      783.27335      1055.37434
     10464    86.4301    55.3421    -291.479       -291.479      652754087.68      789.23607      783.33744      1055.46069
     10466    86.4321    55.3507    -291.366       -291.366      652918573.21      789.30151      783.40239      1055.54820
     10468    86.4342    55.3592    -291.233       -291.233      653086039.11      789.36808      783.46847      1055.63724
     10470    86.4363    55.3582    -291.141       -291.141      653250434.95      789.43346      783.53336      1055.72467
     10472    86.4384    55.3571    -291.012       -291.012      653413347.04      789.49825      783.59766      1055.81131
     10474    86.4405    55.3657    -290.903       -290.903      653577716.39      789.56358      783.66251      1055.89868
     10476    86.4425    55.3646    -290.786       -290.786      653741998.85      789.62887      783.72731      1055.98600
     10478    86.4446    55.3636    -290.679       -290.679      653907898.51      789.69478      783.79272      1056.07413
     10480    86.4467    55.3626    -290.577       -290.577      654074309.96      789.76086      783.85831      1056.16251
     10482    86.4487    55.3711    -290.483       -290.483      654243428.98      789.82798      783.92493      1056.25227
     10484    86.4508    55.3796    -290.370       -290.370      654411820.39      789.89481      783.99126      1056.34163
     10486    86.4530    55.3881    -290.255       -290.255      654579682.59      789.96141      784.05736      1056.43071
     10488    86.4550    55.3871    -290.168       -290.168      654749307.44      790.02868      784.12413      1056.52067
     10490    86.4571    55.3861    -290.074       -290.074      654919074.36      790.09599      784.19094      1056.61069
     10492    86.4592    55.3851    -290.002       -290.002      655087301.63      790.16270      784.25715      1056.69989
     10494    86.4613    55.3840    -289.923       -289.923      655255699.30      790.22945      784.32340      1056.78916
     10496    86.4634    55.3830    -289.853       -289.853      655425530.22      790.29674      784.39019      1056.87915
     10498    86.4655    55.3915    -289.780       -289.780      655598168.42      790.36511      784.45804      1056.97057
     10500    86.4676    55.4000    -289.677       -289.677      655771126.87      790.43358      784.52600      1057.06214
     10502    86.4697    55.3990    -289.561       -289.561      655945187.50      790.50245      784.59436      1057.15425
     10504    86.4717    55.3979    -289.449       -289.449      656120538.71      790.57181      784.66321      1057.24701
     10506    86.4738    55.3969    -289.347       -289.347      656294685.83      790.64070      784.73157      1057.33913
     10508    86.4758    55.3864    -289.241       -289.241      656467461.72      790.70904      784.79940      1057.43052
     10510    86.4779    55.3853    -289.150       -289.150      656640764.30      790.77756      784.86742      1057.52216
     10512    86.4801    55.3843    -289.020       -289.020      656814796.46      790.84636      784.93570      1057.61416
     10514    86.4821    55.3833    -288.892       -288.892      656990455.80      790.91576      785.00458      1057.70697
     10516    86.4842    55.3728    -288.765       -288.765      657164753.44      790.98462      785.07293      1057.79907
     10518    86.4862    55.3622    -288.657       -288.657      657337705.15      791.05296      785.14075      1057.89045
     10520    86.4883    55.3612    -288.542       -288.542      657511748.31      791.12169      785.20898      1057.98238
     10522    86.4904    55.3602    -288.437       -288.437      657687218.57      791.19096      785.27773      1058.07501
     10524    86.4924    55.3687    -288.318       -288.318      657862842.91      791.26028      785.34652      1058.16771
     10526    86.4945    55.3772    -288.199       -288.199      658041087.16      791.33058      785.41630      1058.26172
     10528    86.4966    55.3666    -288.080       -288.080      658217981.07      791.40035      785.48555      1058.35503
     10530    86.4987    55.3561    -287.991       -287.991      658393539.93      791.46959      785.55427      1058.44763
     10532    86.5008    55.3551    -287.899       -287.899      658568250.88      791.53850      785.62266      1058.53977
     10534    86.5028    55.3541    -287.804       -287.804      658742847.35      791.60734      785.69099      1058.63184
     10536    86.5049    55.3531    -287.702       -287.702      658917626.46      791.67624      785.75938      1058.72398
     10538    86.5070    55.3615    -287.589       -287.589      659095282.51      791.74622      785.82884      1058.81757
     10540    86.5092    55.3510    -287.455       -287.455      659271622.58      791.81569      785.89779      1058.91047
     10542    86.5113    55.3595    -287.338       -287.338      659449466.17      791.88572      785.96729      1059.00412
     10544    86.5133    55.3585    -287.232       -287.232      659626391.10      791.95537      786.03643      1059.09727
     10546    86.5154    55.3575    -287.149       -287.149      659801482.82      792.02432      786.10485      1059.18947
     10548    86.5176    55.3470    -287.087       -287.087      659975296.49      792.09276      786.17278      1059.28100
     10550    86.5197    55.3365    -286.994       -286.994      660147846.06      792.16070      786.24022      1059.37186
     10552    86.5217    55.3450    -286.899       -286.899      660317428.69      792.22750      786.30651      1059.46118
     10554    86.5239    55.3345    -286.799       -286.799      660485786.89      792.29381      786.37233      1059.54986
     10556    86.5259    55.3335    -286.713       -286.713      660654679.47      792.36031      786.43833      1059.63880
     10558    86.5280    55.3324    -286.621       -286.621      660824872.28      792.42729      786.50482      1059.72838
     10560    86.5301    55.3409    -286.532       -286.532      660996282.08      792.49473      786.57175      1059.81856
     10562    86.5322    55.3494    -286.459       -286.459      661168890.58      792.56260      786.63912      1059.90933
     10564    86.5342    55.3578    -286.380       -286.380      661342893.65      792.63100      786.70700      1060.00080
     10566    86.5363    55.3663    -286.283       -286.283      661515789.25      792.69895      786.77445      1060.09168
     10568    86.5384    55.3747    -286.188       -286.188      661691030.99      792.76779      786.84277      1060.18373
     10570    86.5404    55.3642    -286.086       -286.086      661865042.96      792.83614      786.91061      1060.27514
     10572    86.5425    55.3632    -285.981       -285.981      662038603.85      792.90431      786.97827      1060.36630
     10574    86.5447    55.3717    -285.854       -285.854      662213172.20      792.97284      787.04629      1060.45795
     10576    86.5468    55.3707    -285.746       -285.746      662387634.06      793.04132      787.11425      1060.54953
     10578    86.5489    55.3791    -285.595       -285.595      662562171.32      793.10981      787.18224      1060.64112
     10580    86.5509    55.3781    -285.487       -285.487      662737057.15      793.17842      787.25033      1060.73288
     10582    86.5530    55.3676    -285.393       -285.393      662910741.01      793.24656      787.31796      1060.82400
     10584    86.5551    55.3760    -285.319       -285.319      663084784.94      793.31482      787.38571      1060.91529
     10586    86.5571    55.3656    -285.228       -285.228      663257640.86      793.38262      787.45300      1061.00595
     10588    86.5592    55.3740    -285.120       -285.120      663432851.56      793.45129      787.52116      1061.09779
     10590    86.5613    55.3824    -285.013       -285.013      663608458.15      793.52010      787.58945      1061.18981
     10592    86.5634    55.3814    -284.893       -284.893      663782714.99      793.58838      787.65723      1061.28112
     10594    86.5655    55.3710    -284.781       -284.781      663955798.38      793.65620      787.72454      1061.37182
     10596    86.5676    55.3794    -284.683       -284.683      664131238.96      793.72490      787.79273      1061.46370
     10598    86.5696    55.3784    -284.598       -284.598      664305634.68      793.79319      787.86051      1061.55502
     10600    86.5717    55.3868    -284.498       -284.498      664481597.74      793.86206      787.92886      1061.64712
