No. moves  % accept.   % accept. vol.   <E_tot>      <E_sr>    <Vol>      <Lx>     <Ly>    <Lz>
     10200    85.6098    54.6078    -317.364       -317.364      570332424.60      754.56980      748.93027      1009.10082
     10202    85.6121    54.6167    -317.277       -317.277      570501485.50      754.64394      749.00385      1009.19996
     10204    85.6143    54.6158    -317.242       -317.242      570662355.38      754.71450      749.07389      1009.29433
     10206    85.6165    54.6149    -317.235       -317.235      570823618.37      754.78522      749.14408      1009.38891
     10208    85.6187    54.6238    -317.259       -317.259      570978036.89      754.85296      749.21131      1009.47950
     10210    85.6210    54.6229    -317.218       -317.218      571135657.84      754.92207      749.27990      1009.57192
     10212    85.6232    54.6220    -317.200       -317.200      571293631.80      754.99131      749.34863      1009.66451
     10214    85.6254    54.6309    -317.201       -317.201      571453422.09      755.06132      749.41811      1009.75814
     10216    85.6276    54.6300    -317.127       -317.127      571610484.08      755.13013      749.48641      1009.85016
     10218    85.6298    54.6193    -317.009       -317.009      571764664.19      755.19768      749.55345      1009.94049
     10220    85.6321    54.6184    -316.873       -316.873      571921078.16      755.26618      749.62144      1010.03209
     10222    85.6343    54.6273    -316.799       -316.799      572080974.01      755.33616      749.69089      1010.12568
     10224    85.6365    54.6264    -316.761       -316.761      572238321.77      755.40502      749.75924      1010.21777
     10226    85.6388    54.6157    -316.700       -316.700      572392884.61      755.47266      749.82638      1010.30823
     10228    85.6410    54.6050    -316.571       -316.571      572544735.82      755.53912      749.89234      1010.39711
     10230    85.6433    54.5943    -316.485       -316.485      572693946.14      755.60442      749.95715      1010.48444
     10232    85.6455    54.5837    -316.414       -316.414      572840583.86      755.66860      750.02085      1010.57026
     10234    85.6477    54.5828    -316.371       -316.371      572988875.97      755.73347      750.08524      1010.65702
     10236    85.6499    54.5916    -316.266       -316.266      573135531.91      755.79762      750.14891      1010.74281
     10238    85.6522    54.5907    -316.154       -316.154      573280272.85      755.86093      750.21175      1010.82747
     10240    85.6544    54.5996    -316.089       -316.089      573428893.17      755.92590      750.27623      1010.91435
     10242    85.6566    54.5889    -316.039       -316.039      573575056.96      755.98979      750.33964      1010.99980
     10244    85.6589    54.5978    -315.992       -315.992      573719418.48      756.05289      750.40227      1011.08418
     10246    85.6611    54.5969    -315.935       -315.935      573864292.56      756.11619      750.46510      1011.16884
     10248    85.6634    54.5960    -315.887       -315.887      574011074.96      756.18030      750.52873      1011.25458
     10250    85.6656    54.5951    -315.851       -315.851      574154098.26      756.24278      750.59074      1011.33813
     10252    85.6677    54.5942    -315.817       -315.817      574293889.72      756.30385      750.65136      1011.41980
     10254    85.6700    54.5933    -315.776       -315.776      574431761.75      756.36409      750.71114      1011.50035
     10256    85.6722    54.5924    -315.681       -315.681      574571009.61      756.42490      750.77150      1011.58168
     10258    85.6745    54.6013    -315.616       -315.616      574709772.64      756.48548      750.83163      1011.66270
     10260    85.6767    54.6004    -315.533       -315.533      574843723.07      756.54399      750.88970      1011.74094
     10262    85.6789    54.6092    -315.432       -315.432      574979706.55      756.60335      750.94862      1011.82033
     10264    85.6812    54.5986    -315.321       -315.321      575113629.67      756.66181      751.00664      1011.89851
     10266    85.6834    54.5977    -315.146       -315.146      575250243.94      756.72142      751.06581      1011.97822
     10268    85.6857    54.5968    -314.959       -314.959      575386321.72      756.78078      751.12472      1012.05761
     10270    85.6879    54.5862    -314.773       -314.773      575520383.52      756.83927      751.18277      1012.13582
