No. moves  % accept.   % acc. vol.    E_tot          E_sr          Vol       Lx        Ly        Lz
     412    57.4088        49.2718         -4843.138      -4843.138     399071.82  66.99226  66.49157  89.59005
     414    57.4378        49.0338         -4834.938      -4834.938     399071.82  66.99226  66.49157  89.59005
     416    57.4604        49.0385         -4853.316      -4853.316     400239.23  67.05752  66.55635  89.67733
     418    57.4844        49.0431         -4824.262      -4824.262     400189.26  67.05473  66.55358  89.67360
     420    57.5090        48.8095         -4846.932      -4846.932     400189.26  67.05473  66.55358  89.67360
     422    57.5363        48.8152         -4837.912      -4837.912     404237.06  67.28006  66.77722  89.97492
     424    57.5577        48.5849         -4861.525      -4861.525     404237.06  67.28006  66.77722  89.97492
     426    57.5789        48.5915         -4826.111      -4826.111     406362.39  67.39776  66.89404  90.13233
     428    57.5995        48.3645         -4835.528      -4835.528     406362.39  67.39776  66.89404  90.13233
     430    57.6165        48.1395         -4843.155      -4843.155     406362.39  67.39776  66.89404  90.13233
     432    57.6387        48.1481         -4839.859      -4839.859     408340.39  67.50694  67.00240  90.27834
     434    57.6608        48.1567         -4824.850      -4824.850     409514.94  67.57160  67.06658  90.36481
     436    57.6794        48.3945         -4787.376      -4787.376     415365.66  67.89188  67.38447  90.79313
     438    57.7006        48.6301         -4785.465      -4785.465     416652.16  67.96190  67.45396  90.88677
     440    57.7242        48.8636         -4780.004      -4780.004     420883.94  68.19121  67.68156  91.19343
     442    57.7449        49.0950         -4748.451      -4748.451     425313.13  68.42958  67.91815  91.51221
     444    57.7647        49.0991         -4781.780      -4781.780     425640.76  68.44715  67.93559  91.53570
     446    57.7860        49.1031         -4763.920      -4763.920     429246.15  68.63987  68.12686  91.79343
     448    57.8084        49.1071         -4761.915      -4761.915     432714.53  68.82425  68.30986  92.04000
     450    57.8309        49.1111         -4778.640      -4778.640     437669.58  69.08595  68.56962  92.38998
     452    57.8523        49.1150         -4763.542      -4763.542     442115.91  69.31912  68.80104  92.70180
     454    57.8734        48.8987         -4768.348      -4768.348     442115.91  69.31912  68.80104  92.70180
     456    57.8981        48.9035         -4762.137      -4762.137     447002.49  69.57357  69.05359  93.04208
     458    57.9162        49.1266         -4771.759      -4771.759     451489.11  69.80557  69.28385  93.35234
     460    57.9385        49.1304         -4738.691      -4738.691     456337.96  70.05457  69.53100  93.68534
     462    57.9600        48.9177         -4765.866      -4765.866     456337.96  70.05457  69.53100  93.68534
     464    57.9805        48.7069         -4749.701      -4749.701     456337.96  70.05457  69.53100  93.68534
     466    58.0032        48.7124         -4731.411      -4731.411     460912.13  70.28786  69.76254  93.99732
     468    58.0238        48.9316         -4702.156      -4702.156     470621.92  70.77801  70.24903  94.65281
     470    58.0469        48.7234         -4714.006      -4714.006     470621.92  70.77801  70.24903  94.65281
     472    58.0680        48.9407         -4685.828      -4685.828     478809.75  71.18612  70.65408  95.19857
     474    58.0896        48.9451         -4704.386      -4704.386     481361.59  71.31235  70.77938  95.36739
     476    58.1150        48.9496         -4693.766      -4693.766     481792.27  71.33362  70.80048  95.39583
     478    58.1376        48.7448         -4677.384      -4677.384     481792.27  71.33362  70.80048  95.39583
     480    58.1613        48.7500         -4678.065      -4678.065     484327.00  71.45849  70.92442  95.56283
     482    58.1821        48.9627         -4665.751      -4665.751     490365.36  71.75424  71.21796  95.95833
     484    58.2015        49.1736         -4654.639      -4654.639     496509.24  72.05267  71.51416  96.35743
     486    58.2256        48.9712         -4647.955      -4647.955     496509.24  72.05267  71.51416  96.35743
     488    58.2500        48.9754         -4669.440      -4669.440     497351.59  72.09339  71.55458  96.41189
     490    58.2682        48.9796         -4679.051      -4679.051     499036.77  72.17473  71.63530  96.52066
     492    58.2865        48.9837         -4690.436      -4690.436     499275.45  72.18623  71.64672  96.53605
     494    58.3053        48.9879         -4682.922      -4682.922     500305.91  72.23586  71.69598  96.60242
     496    58.3240        48.9919         -4668.219      -4668.219     504703.15  72.44687  71.90542  96.88461
     498    58.3430        48.9960         -4675.019      -4675.019     506149.05  72.51599  71.97402  96.97704
     500    58.3640        49.0000         -4659.161      -4659.161     507588.05  72.58465  72.04216  97.06885
     502    58.3836        49.2032         -4636.669      -4636.669     515245.95  72.94785  72.40265  97.55457
     504    58.4049        49.2063         -4630.771      -4630.771     519342.79  73.14068  72.59404  97.81245
     506    58.4257        49.2095         -4635.910      -4635.910     523058.25  73.31469  72.76674  98.04515
     508    58.4438        49.4094         -4637.863      -4637.863     526261.10  73.46403  72.91497  98.24487
     510    58.4630        49.4118         -4634.168      -4634.168     530999.11  73.68384  73.13314  98.53882
     512    58.4839        49.2188         -4641.231      -4641.231     530999.11  73.68384  73.13314  98.53882
     514    58.5047        49.4163         -4628.285      -4628.285     540823.30  74.13548  73.58140  99.14281
     516    58.5250        49.6124         -4629.993      -4629.993     544206.21  74.28973  73.73450  99.34910
     518    58.5446        49.6139         -4629.189      -4629.189     548955.10  74.50520  73.94836  99.63725
     520    58.5666        49.6154         -4600.138      -4600.138     554723.39  74.76525  74.20647  99.98502
     522    58.5851        49.6169         -4605.794      -4605.794     559782.81  74.99186  74.43139  100.28807
     524    58.6049        49.6183         -4576.227      -4576.227     564939.95  75.22145  74.65926  100.59511
     526    58.6229        49.6198         -4580.053      -4580.053     569358.62  75.41706  74.85341  100.85670
     528    58.6438        49.6212         -4565.348      -4565.348     570202.70  75.45431  74.89038  100.90651
     530    58.6621        49.8113         -4552.308      -4552.308     577617.32  75.77996  75.21359  101.34201
     532    58.6817        49.6241         -4554.389      -4554.389     577617.32  75.77996  75.21359  101.34201
     534    58.7008        49.6255         -4551.821      -4551.821     584041.06  76.05984  75.49138  101.71630
     536    58.7170        49.6269         -4544.905      -4544.905     584077.24  76.06141  75.49294  101.71840
     538    58.7364        49.6283         -4537.635      -4537.635     586865.17  76.18224  75.61287  101.87999
     540    58.7578        49.4444         -4534.443      -4534.443     586865.17  76.18224  75.61287  101.87999
     542    58.7779        49.2620         -4542.596      -4542.596     586865.17  76.18224  75.61287  101.87999
     544    58.7969        49.4485         -4536.227      -4536.227     590277.36  76.32960  75.75913  102.07706
