No. moves  % accept.       <E_tot>         <E_sr>
     10396    49.7334        -7016.993       -7016.993
     10398    49.7335        -7016.730       -7016.730
     10400    49.7336        -7016.568       -7016.568
     10402    49.7336        -7016.432       -7016.432
     10404    49.7335        -7016.239       -7016.239
     10406    49.7336        -7016.139       -7016.139
     10408    49.7335        -7016.148       -7016.148
     10410    49.7335        -7016.187       -7016.187
     10412    49.7336        -7016.269       -7016.269
     10414    49.7335        -7016.477       -7016.477
     10416    49.7334        -7016.552       -7016.552
     10418    49.7335        -7016.706       -7016.706
     10420    49.7335        -7016.911       -7016.911
     10422    49.7335        -7017.068       -7017.068
     10424    49.7335        -7017.197       -7017.197
     10426    49.7333        -7017.178       -7017.178
     10428    49.7331        -7017.160       -7017.160
     10430    49.7330        -7017.176       -7017.176
     10432    49.7329        -7017.157       -7017.157
     10434    49.7328        -7017.128       -7017.128
     10436    49.7328        -7017.048       -7017.048
     10438    49.7327        -7017.002       -7017.002
     10440    49.7328        -7016.798       -7016.798
     10442    49.7328        -7016.666       -7016.666
     10444    49.7327        -7016.602       -7016.602
     10446    49.7327        -7016.534       -7016.534
     10448    49.7327        -7016.549       -7016.549
     10450    49.7327        -7016.538       -7016.538
     10452    49.7326        -7016.488       -7016.488
     10454    49.7325        -7016.591       -7016.591
     10456    49.7324        -7016.702       -7016.702
     10458    49.7323        -7016.926       -7016.926
     10460    49.7321        -7017.087       -7017.087
     10462    49.7321        -7017.293       -7017.293
     10464    49.7322        -7017.478       -7017.478
     10466    49.7322        -7017.704       -7017.704
     10468    49.7322        -7017.905       -7017.905
     10470    49.7322        -7018.103       -7018.103
     10472    49.7322        -7018.303       -7018.303
     10474    49.7324        -7018.407       -7018.407
     10476    49.7324        -7018.666       -7018.666
     10478    49.7323        -7018.754       -7018.754
     10480    49.7323        -7018.821       -7018.821
     10482    49.7323        -7018.926       -7018.926
     10484    49.7323        -7018.936       -7018.936
     10486    49.7322        -7019.117       -7019.117
     10488    49.7321        -7019.313       -7019.313
     10490    49.7321        -7019.386       -7019.386
     10492    49.7320        -7019.535       -7019.535
     10494    49.7320        -7019.645       -7019.645
     10496    49.7322        -7019.745       -7019.745
     10498    49.7323        -7019.839       -7019.839
     10500    49.7323        -7019.909       -7019.909
     10502    49.7322        -7020.099       -7020.099
     10504    49.7322        -7020.209       -7020.209
     10506    49.7322        -7020.280       -7020.280
     10508    49.7320        -7020.351       -7020.351
     10510    49.7320        -7020.440       -7020.440
     10512    49.7321        -7020.615       -7020.615
     10514    49.7320        -7020.855       -7020.855
     10516    49.7319        -7020.939       -7020.939
     10518    49.7320        -7021.007       -7021.007
     10520    49.7320        -7021.006       -7021.006
     10522    49.7322        -7021.147       -7021.147
     10524    49.7321        -7021.235       -7021.235
     10526    49.7321        -7021.323       -7021.323
     10528    49.7323        -7021.313       -7021.313
     10530    49.7322        -7021.334       -7021.334
     10532    49.7322        -7021.355       -7021.355
     10534    49.7321        -7021.311       -7021.311
     10536    49.7320        -7021.258       -7021.258
     10538    49.7320        -7021.177       -7021.177
     10540    49.7320        -7021.154       -7021.154
     10542    49.7320        -7021.150       -7021.150
     10544    49.7320        -7021.076       -7021.076
     10546    49.7319        -7021.057       -7021.057
     10548    49.7320        -7021.138       -7021.138
     10550    49.7321        -7021.094       -7021.094
     10552    49.7323        -7021.130       -7021.130
     10554    49.7323        -7021.213       -7021.213
     10556    49.7324        -7021.232       -7021.232
     10558    49.7324        -7021.283       -7021.283
     10560    49.7326        -7021.267       -7021.267
     10562    49.7327        -7021.190       -7021.190
     10564    49.7328        -7021.282       -7021.282
     10566    49.7326        -7021.438       -7021.438
     10568    49.7327        -7021.592       -7021.592
     10570    49.7328        -7021.674       -7021.674
     10572    49.7330        -7021.640       -7021.640
     10574    49.7332        -7021.530       -7021.530
     10576    49.7334        -7021.508       -7021.508
     10578    49.7334        -7021.384       -7021.384
     10580    49.7335        -7021.299       -7021.299
     10582    49.7337        -7021.230       -7021.230
     10584    49.7336        -7021.181       -7021.181
     10586    49.7336        -7021.098       -7021.098
     10588    49.7335        -7021.058       -7021.058
     10590    49.7334        -7020.976       -7020.976
     10592    49.7333        -7020.932       -7020.932
     10594    49.7333        -7020.800       -7020.800
     10596    49.7334        -7020.652       -7020.652
     10598    49.7334        -7020.590       -7020.590
     10600    49.7335        -7020.526       -7020.526
     10602    49.7335        -7020.467       -7020.467
     10604    49.7336        -7020.433       -7020.433
     10606    49.7337        -7020.367       -7020.367
     10608    49.7337        -7020.244       -7020.244
     10610    49.7338        -7020.239       -7020.239
     10612    49.7338        -7020.275       -7020.275
     10614    49.7339        -7020.293       -7020.293
     10616    49.7338        -7020.335       -7020.335
     10618    49.7338        -7020.479       -7020.479
     10620    49.7338        -7020.539       -7020.539
     10622    49.7337        -7020.619       -7020.619
     10624    49.7337        -7020.645       -7020.645
     10626    49.7337        -7020.706       -7020.706
     10628    49.7336        -7020.813       -7020.813
     10630    49.7336        -7020.960       -7020.960
     10632    49.7337        -7020.978       -7020.978
     10634    49.7337        -7021.020       -7021.020
     10636    49.7336        -7021.006       -7021.006
