No. moves  % accept.       <E_tot>         <E_sr>
     10608    49.7309        -7029.929       -7029.929
     10610    49.7311        -7029.947       -7029.947
     10612    49.7312        -7030.034       -7030.034
     10614    49.7312        -7030.084       -7030.084
     10616    49.7311        -7030.102       -7030.102
     10618    49.7312        -7030.031       -7030.031
     10620    49.7313        -7029.881       -7029.881
     10622    49.7315        -7029.779       -7029.779
     10624    49.7315        -7029.718       -7029.718
     10626    49.7315        -7029.583       -7029.583
     10628    49.7315        -7029.553       -7029.553
     10630    49.7315        -7029.504       -7029.504
     10632    49.7315        -7029.410       -7029.410
     10634    49.7314        -7029.408       -7029.408
     10636    49.7314        -7029.348       -7029.348
     10638    49.7314        -7029.374       -7029.374
     10640    49.7313        -7029.306       -7029.306
     10642    49.7311        -7029.255       -7029.255
     10644    49.7312        -7029.218       -7029.218
     10646    49.7311        -7029.085       -7029.085
     10648    49.7310        -7028.987       -7028.987
     10650    49.7309        -7028.906       -7028.906
     10652    49.7309        -7028.838       -7028.838
     10654    49.7310        -7028.758       -7028.758
     10656    49.7310        -7028.607       -7028.607
     10658    49.7309        -7028.543       -7028.543
     10660    49.7308        -7028.486       -7028.486
     10662    49.7308        -7028.518       -7028.518
     10664    49.7307        -7028.552       -7028.552
     10666    49.7307        -7028.545       -7028.545
     10668    49.7307        -7028.468       -7028.468
     10670    49.7305        -7028.399       -7028.399
     10672    49.7307        -7028.324       -7028.324
     10674    49.7307        -7028.311       -7028.311
     10676    49.7306        -7028.261       -7028.261
     10678    49.7306        -7028.279       -7028.279
     10680    49.7308        -7028.295       -7028.295
     10682    49.7308        -7028.251       -7028.251
     10684    49.7308        -7028.250       -7028.250
     10686    49.7309        -7028.255       -7028.255
     10688    49.7307        -7028.327       -7028.327
     10690    49.7308        -7028.388       -7028.388
     10692    49.7310        -7028.422       -7028.422
     10694    49.7309        -7028.369       -7028.369
     10696    49.7309        -7028.356       -7028.356
     10698    49.7308        -7028.364       -7028.364
     10700    49.7308        -7028.326       -7028.326
     10702    49.7307        -7028.347       -7028.347
     10704    49.7306        -7028.374       -7028.374
     10706    49.7307        -7028.391       -7028.391
     10708    49.7307        -7028.361       -7028.361
     10710    49.7306        -7028.317       -7028.317
     10712    49.7307        -7028.268       -7028.268
     10714    49.7308        -7028.182       -7028.182
